file,sku_main,old_skus,new_skus,passed
output_5363.txt,JNE3817-KR-XL,"['MEN5003-KR-XL', 'JNE3281-KR-XL', 'JNE3389-KR-XL', 'JNE3804-KR-XL', 'JNE3621-KR-XL']","['MEN5003-KR-XL', 'JNE3281-KR-XL', 'JNE3389-KR-XL', 'JNE3804-KR-XL', 'JNE3621-KR-XL']",True
output_5364.txt,SET435-KR-NP-XXXL,[],[],True
output_5365.txt,SET202-KR-NP-XL,[],[],True
output_5366.txt,J0126-SKD-XL,['J0254-SKD-XL'],['J0254-SKD-XL'],True
output_5367.txt,SET210-KR-PP-XL,"['SET038-KR-PP-XL', 'SET270-KR-PP-XL', 'SET165-KR-PP-XL']","['SET038-KR-PP-XL', 'SET270-KR-PP-XL', 'SET165-KR-PP-XL']",True
output_5368.txt,JNE3780-KR-L,"['J0167-KR-L', 'JNE3728-KR-L', 'JNE3721-KR-L', 'JNE3620-KR-L', 'JNE3542-KR-L']","['J0167-KR-L', 'JNE3728-KR-L', 'JNE3721-KR-L', 'JNE3620-KR-L', 'JNE3762-KR-L']",False
output_5369.txt,SET327-KR-DPT-XS,['J0248-KR-DPT-XS'],['J0248-KR-DPT-XS'],True
output_537.txt,SET253-KR-NP-XXXL,"['SET145-KR-NP-XXXL', 'SET266-KR-NP-XXXL', 'SET293-KR-NP-XXXL', 'SET197-KR-NP-XXXL', 'SET225-KR-NP-XXXL']","['SET145-KR-NP-XXXL', 'SET266-KR-NP-XXXL', 'SET293-KR-NP-XXXL', 'SET197-KR-NP-XXXL', 'SET225-KR-NP-XXXL']",True
output_5370.txt,JNE3862-TU-S,"['JNE3673-TU-S', 'JNE3864-TU-S']","['JNE3673-TU-S', 'JNE3864-TU-S']",True
output_5371.txt,JNE3157-KR-M,"['MEN5029-KR-M', 'MEN5007-KR-M', 'JNE3578-KR-M']","['MEN5029-KR-M', 'MEN5007-KR-M', 'JNE3578-KR-M']",True
output_5372.txt,J0011-LCD-XS,[],[],True
output_5373.txt,MEN5029-KR-XXL,"['JNE3506-KR-XXL', 'J0353-KR-XXL', 'JNE3813-KR-XXL', 'JNE3836-KR-XXL', 'J0352-KR-XXL']","['JNE3506-KR-XXL', 'J0353-KR-XXL', 'JNE3813-KR-XXL', 'JNE3836-KR-XXL', 'J0352-KR-XXL']",True
output_5374.txt,JNE2205-KR-467-A-M,[],[],True
output_5375.txt,J0091-TP-XS,"['J0074-TP-XS', 'J0044-TP-XS', 'JNE3666-TP-XS', 'J0304-TP-XS']","['J0074-TP-XS', 'J0044-TP-XS', 'JNE3666-TP-XS', 'J0304-TP-XS']",True
output_5376.txt,SET156-KR-NP-S,"['SET249-KR-NP-S', 'SET188-KR-NP-S', 'SET389-KR-NP-S', 'SET147-KR-NP-S']","['SET249-KR-NP-S', 'SET188-KR-NP-S', 'SET389-KR-NP-S', 'SET147-KR-NP-S']",True
output_5377.txt,J0177-KR-XS,"['J0029-KR-XS', 'JNE3336-KR-XS', 'JNE3726-KR-XS', 'J0131-KR-XS', 'J0299-KR-XS']","['JNE3336-KR-XS', 'J0029-KR-XS', 'J0131-KR-XS', 'JNE3726-KR-XS', 'JNE3635-KR-XS']",False
output_5378.txt,J0234-SKD-XL,"['J0002-SKD-XL', 'J0162-SKD-XL', 'J0004-SKD-XL', 'J0127-SKD-XL', 'J0102-SKD-XL']","['J0002-SKD-XL', 'J0162-SKD-XL', 'J0004-SKD-XL', 'J0127-SKD-XL', 'J0102-SKD-XL']",True
output_5379.txt,J0331-KR-XXL,[],[],True
output_538.txt,J0248-KR-DPT-L,[],[],True
output_5380.txt,NW038-ST-SR-XL,['NW020-ST-SR-XL'],['NW020-ST-SR-XL'],True
output_5381.txt,JNE3860-DR-XS,['J0305-DR-XS'],['J0305-DR-XS'],True
output_5382.txt,JNE2270-KR-487-A-XS,[],[],True
output_5383.txt,SET159-KR-NP-XXL,[],[],True
output_5384.txt,SET313-KR-NP-L,"['SET356-KR-NP-L', 'SET359-KR-NP-L', 'SET365-KR-NP-L']","['SET356-KR-NP-L', 'SET359-KR-NP-L', 'SET365-KR-NP-L']",True
